TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
0,126,3088.341511899046,611,1,36,363,185,14,0,70,0,81,1,19827211.802356232,105,4
1,449,76213.54988631875,1068,1,15,50,81,51,0,68,0,141,1,53353943.297191635,192,3
2,18,25743.728449935472,1144,1,23,229,341,8,2,19,3,56,1,4356920.833317873,41,0
3,68,37497.47242197736,733,1,33,182,299,1,2,26,3,25,1,33230808.75471051,163,2
4,405,2959.112923304183,1749,0,1,297,498,90,2,26,3,198,1,28811888.841286417,16,1
5,387,18850.1909270784,570,1,28,556,60,53,0,18,3,172,1,3036006.308892883,13,0
6,196,1672.884627445976,277,0,39,235,111,18,0,37,0,139,1,51639356.15215176,226,3
7,67,34856.363142569906,750,0,16,479,567,19,1,67,2,291,1,10847265.193812631,271,4
8,133,21693.219876165324,497,0,11,664,367,34,1,51,1,86,1,35270632.375838,290,2
9,379,165001.66703777487,547,1,26,194,390,6,0,55,0,120,1,3967358.2587765907,9,0
10,148,3833.425093016292,464,0,0,200,335,72,2,52,1,59,1,29471512.46207833,22,1
11,453,38612.06899860804,210,1,22,566,56,29,2,21,3,173,1,5932929.632442487,49,0
12,386,100096.60841600635,940,0,23,31,330,56,1,24,3,111,1,6286587.464869186,135,0
13,259,158096.014334737,1954,1,22,53,276,24,0,26,3,123,1,740623.1248310285,43,0
14,83,33961.85900588986,255,1,21,298,250,16,2,18,3,134,1,1168067.9164845701,226,0
15,265,94226.80361842416,2115,1,10,448,358,24,0,36,1,129,1,13442410.323109744,355,4
16,312,112470.2457739642,1831,0,2,645,461,47,1,19,3,158,1,4391468.484747782,72,0
17,353,99775.55614121599,2128,1,8,414,49,58,2,39,1,234,1,19818526.421974305,327,4
18,237,4015.152795727815,320,0,0,509,575,53,1,59,2,106,1,30824144.134505186,337,1
19,280,14676.511354803775,951,0,8,38,69,38,2,18,3,169,1,25474182.463353883,177,1
20,1,12221.168171501433,372,1,20,150,59,39,1,71,2,38,1,22303630.883753933,181,1
21,13,17561.94343452339,1343,1,19,259,475,64,1,38,0,93,1,35468573.74570296,110,2
22,93,10783.500123383617,933,1,1,140,90,21,2,39,1,120,1,34804529.88668096,38,2
23,236,29630.682091265247,393,1,33,35,62,27,2,21,3,96,1,7492226.829135799,46,0
24,39,1755.6716920145577,1780,0,15,645,540,42,2,65,2,276,1,14098195.315964997,201,4
25,55,8384.694447591528,538,1,25,299,325,7,1,37,1,95,1,10421836.651176326,335,0
26,384,25977.955266763656,145,1,19,226,150,91,2,44,0,197,1,6876107.658292662,298,0
27,308,11585.121212011103,1583,1,11,287,394,42,1,27,3,283,1,5246164.197957048,127,0
